epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4325.35,1.91804,1.29823,0.9938,0.83295,0.68147,0.75529,0.3285,1.9544,1.1967,0.98198,0.000757435,0.000757435,0.000757435
71,4385.99,1.9311,1.29642,0.99441,0.80718,0.70222,0.7629,0.32336,1.98964,1.19905,0.99182,0.000739427,0.000739427,0.000739427
72,4446.61,1.93179,1.30327,0.99921,0.79898,0.68896,0.74047,0.31133,2.02787,1.21489,0.98503,0.000721419,0.000721419,0.000721419
73,4507.27,1.93327,1.30575,0.99721,0.79344,0.70424,0.75954,0.30893,2.03649,1.21405,0.99633,0.000703411,0.000703411,0.000703411
74,4567.92,1.90453,1.28392,0.99497,0.82558,0.69111,0.74956,0.31348,2.06637,1.219,0.99386,0.000685403,0.000685403,0.000685403
75,4628.57,1.91054,1.27713,0.99579,0.84786,0.69,0.76563,0.32716,1.95446,1.20009,0.98167,0.000667395,0.000667395,0.000667395
76,4689.2,1.90609,1.28339,0.99707,0.82727,0.6918,0.77371,0.32615,1.96199,1.21534,0.98046,0.000649386,0.000649386,0.000649386
77,4749.88,1.89472,1.25802,0.98616,0.83203,0.72333,0.78675,0.3356,1.95281,1.19288,0.98086,0.000631378,0.000631378,0.000631378
78,4810.7,1.92345,1.2904,0.99395,0.83304,0.68444,0.76316,0.32629,1.9647,1.19535,0.98475,0.00061337,0.00061337,0.00061337
79,4871.34,1.86086,1.26096,0.986,0.81925,0.68,0.76322,0.31067,1.98599,1.21708,0.98818,0.000595362,0.000595362,0.000595362
80,4932,1.89206,1.27421,0.99059,0.83832,0.69132,0.77029,0.33575,1.94413,1.20042,0.97826,0.000577354,0.000577354,0.000577354
81,4992.62,1.90119,1.25392,0.99521,0.8284,0.70111,0.77105,0.32506,1.97541,1.19071,0.98892,0.000559345,0.000559345,0.000559345
82,5053.26,1.88569,1.24523,0.98785,0.83625,0.7,0.77189,0.33483,1.95045,1.18696,0.98336,0.000541337,0.000541337,0.000541337
83,5113.95,1.89445,1.25273,0.99319,0.85,0.69888,0.77714,0.34191,1.96521,1.18265,0.98578,0.000523329,0.000523329,0.000523329
84,5174.63,1.89372,1.26978,0.98869,0.86357,0.69626,0.79005,0.34173,1.94013,1.17647,0.97818,0.000505321,0.000505321,0.000505321
85,5235.28,1.867,1.23616,0.98506,0.84369,0.71369,0.78373,0.33324,1.97663,1.18009,0.97696,0.000487313,0.000487313,0.000487313
86,5295.93,1.86472,1.20958,0.99152,0.83036,0.70444,0.76849,0.33394,1.97612,1.17471,0.98504,0.000469305,0.000469305,0.000469305
87,5356.59,1.87538,1.23685,0.99081,0.81854,0.7,0.76203,0.32708,1.96523,1.17772,0.98241,0.000451296,0.000451296,0.000451296
88,5417.22,1.86077,1.22028,0.98148,0.82218,0.69866,0.76004,0.33595,1.96584,1.17731,0.98024,0.000433288,0.000433288,0.000433288
89,5477.84,1.85358,1.22526,0.98637,0.84488,0.70778,0.78862,0.33692,1.96482,1.16566,0.98401,0.00041528,0.00041528,0.00041528
90,5538.49,1.85685,1.18777,0.99121,0.83425,0.72702,0.7872,0.3373,1.97368,1.1856,0.98412,0.000397272,0.000397272,0.000397272
91,5599.11,1.86329,1.22497,0.98692,0.83779,0.7116,0.78185,0.33256,1.96355,1.17427,0.98007,0.000379264,0.000379264,0.000379264
92,5659.71,1.86521,1.22258,0.98047,0.84477,0.71956,0.7869,0.34728,1.9474,1.1469,0.98087,0.000361255,0.000361255,0.000361255
93,5720.38,1.83748,1.19994,0.98151,0.82105,0.71882,0.77848,0.3455,1.9208,1.14011,0.97694,0.000343247,0.000343247,0.000343247
94,5781.02,1.86002,1.22231,0.98725,0.83154,0.71667,0.78701,0.34987,1.92932,1.14946,0.97593,0.000325239,0.000325239,0.000325239
95,5841.65,1.83456,1.20256,0.98278,0.83523,0.69843,0.7774,0.33882,1.91759,1.15269,0.9766,0.000307231,0.000307231,0.000307231
96,5902.32,1.82338,1.20264,0.97748,0.83041,0.70729,0.77634,0.33503,1.9503,1.16488,0.98003,0.000289223,0.000289223,0.000289223
